Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),Precip (in),Sol Rad (Ly/day),Vap Pres (mBars),Air Temp (F),Rel Hum (%),Dew Point (F),Wind Speed (mph),Wind Dir (0-360),Soil Temp (F)
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0100,036,0.00,0.00,0,4.6,33.0,72,25.1,2.1,159,51.1
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0200,036,0.00,0.00,0,4.5,32.2,73,24.4,3.0,152,51.1
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0300,036,0.00,0.00,0,4.5,29.6,81,24.6,1.6,169,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0400,036,0.00,0.00,0,4.6,29.4,83,24.8,2.4,167,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0500,036,0.00,0.00,0,4.3,28.9,81,23.7,4.3,140,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0600,036,0.00,0.00,0,4.3,27.8,84,23.7,2.4,156,51.0
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0700,036,0.00,0.00,1,4.4,28.5,83,24.0,2.5,143,50.9
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0800,036,0.00,0.00,69,4.5,28.8,84,24.7,2.2,180,50.9
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,0900,036,0.00,0.00,303,5.0,35.9,70,27.0,3.1,131,50.9
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1000,036,0.00,0.00,484,5.3,40.2,62,28.4,4.1,143,50.8
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1100,036,0.01,0.00,807,5.8,49.6,48,30.9,3.1,143,50.8
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1200,036,0.01,0.00,848,4.8,54.3,33,26.0,3.0,353,50.7
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1300,036,0.01,0.00,975,4.6,57.3,28,24.9,5.1,8,50.7
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1400,036,0.01,0.00,895,4.8,59.5,28,26.2,4.1,3,50.6
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1500,036,0.01,0.00,733,5.2,61.4,28,27.8,6.9,345,50.6
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1600,036,0.01,0.00,487,5.5,62.3,29,29.3,6.2,345,50.5
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1700,036,0.00,0.00,217,6.1,62.2,32,32.0,3.5,301,50.5
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1800,036,0.00,0.00,35,6.5,57.5,40,33.4,3.1,318,50.5
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,1900,036,0.00,0.00,0,6.7,53.9,47,34.2,5.1,1,50.4
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,2000,036,0.00,0.00,0,7.5,50.4,60,37.0,6.0,353,50.4
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,2100,036,0.00,0.00,0,7.4,46.3,69,36.8,2.8,180,50.4
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,2200,036,0.00,0.00,0,7.6,43.9,78,37.4,2.4,147,50.4
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,2300,036,0.00,0.00,0,7.4,40.8,85,36.6,2.8,173,50.4
113,King City-Oasis Rd.,Monterey Bay,2/5/2020,2400,036,0.00,0.00,0,7.3,40.3,86,36.3,3.1,155,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0100,037,0.00,0.00,0,7.2,39.5,88,36.2,3.5,159,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0200,037,0.00,0.00,0,6.9,39.1,86,35.1,2.6,173,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0300,037,0.00,0.00,0,6.6,38.2,85,34.1,1.8,136,50.5
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0400,037,0.00,0.00,0,6.4,35.1,92,33.0,2.1,136,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0500,037,0.00,0.00,0,6.5,35.6,93,33.6,2.2,160,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0600,037,0.00,0.00,0,6.4,35.0,92,33.0,1.6,178,50.5
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0700,037,0.00,0.00,1,6.4,34.3,95,33.0,1.9,161,50.5
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0800,037,0.00,0.00,104,6.3,35.0,92,32.8,2.7,166,50.5
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,0900,037,0.00,0.00,347,7.2,41.8,79,35.9,3.6,162,50.5
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1000,037,0.01,0.00,605,8.1,50.1,66,39.0,4.4,135,50.5
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1100,037,0.01,0.00,821,7.5,54.8,51,37.2,4.7,138,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1200,037,0.01,0.00,952,7.5,60.5,42,37.2,3.6,119,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1300,037,0.01,0.00,987,8.0,64.1,39,38.9,4.9,357,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1400,037,0.01,0.00,924,8.8,66.3,40,41.2,3.7,350,50.4
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1500,037,0.01,0.00,771,9.2,68.6,39,42.5,7.9,348,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1600,037,0.01,0.00,537,9.6,69.8,39,43.5,10.8,337,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1700,037,0.01,0.00,263,9.6,67.1,42,43.5,11.0,339,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1800,037,0.00,0.00,33,9.2,60.9,50,42.4,8.9,335,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,1900,037,0.00,0.00,0,9.3,55.4,62,42.6,3.5,351,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,2000,037,0.00,0.00,0,9.1,50.4,73,42.0,2.6,224,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,2100,037,0.00,0.00,0,8.9,49.4,74,41.5,2.3,224,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,2200,037,0.00,0.00,0,8.7,46.8,80,41.0,2.4,161,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,2300,037,0.00,0.00,0,8.8,44.7,88,41.2,2.7,179,50.3
113,King City-Oasis Rd.,Monterey Bay,2/6/2020,2400,037,0.00,0.00,0,9.0,43.5,93,41.8,2.2,154,50.4
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0100,038,0.00,0.00,0,8.5,41.4,96,40.3,2.7,145,50.4
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0200,038,0.00,0.00,0,8.4,40.8,97,40.1,2.6,154,50.5
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0300,038,0.00,0.00,0,8.3,40.0,98,39.6,2.6,153,50.5
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0400,038,0.00,0.00,0,8.1,39.3,99,39.1,3.3,160,50.5
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0500,038,0.00,0.00,0,7.8,38.0,100,38.0,2.7,162,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0600,038,0.00,0.00,0,7.8,38.1,100,38.1,2.3,164,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0700,038,0.00,0.00,1,7.6,37.5,100,37.5,2.9,149,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0800,038,0.00,0.00,108,7.6,37.6,100,37.6,2.9,141,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,0900,038,0.00,0.00,369,9.1,43.9,93,42.1,3.4,155,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1000,038,0.01,0.00,628,9.9,50.7,78,44.2,5.0,145,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1100,038,0.01,0.00,842,10.7,58.0,65,46.2,4.1,133,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1200,038,0.01,0.00,977,10.2,61.9,54,45.1,4.6,135,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1300,038,0.01,0.00,1013,10.7,67.2,47,46.3,3.8,139,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1400,038,0.01,0.00,952,9.9,69.5,40,44.2,4.1,2,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1500,038,0.01,0.00,793,9.8,70.5,39,44.0,7.6,349,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1600,038,0.01,0.00,558,10.3,71.0,40,45.4,8.3,349,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1700,038,0.00,0.00,271,10.9,70.2,43,46.8,4.7,334,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1800,038,0.00,0.00,36,10.8,63.8,53,46.6,6.7,342,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,1900,038,0.00,0.00,0,11.1,58.2,67,47.2,4.6,338,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,2000,038,0.00,0.00,0,10.8,53.4,78,46.6,3.9,313,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,2100,038,0.00,0.00,0,9.9,48.1,87,44.4,3.1,288,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,2200,038,0.00,0.00,0,9.4,44.8,93,42.8,3.4,149,50.6
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,2300,038,0.00,0.00,0,9.2,43.4,97,42.5,2.8,179,50.7
113,King City-Oasis Rd.,Monterey Bay,2/7/2020,2400,038,0.00,0.00,0,9.0,42.4,97,41.7,3.1,134,50.7
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0100,039,0.00,0.00,0,8.7,41.3,98,40.8,2.0,175,50.8
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0200,039,0.00,0.00,0,8.0,39.3,98,38.9,2.4,155,50.8
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0300,039,0.00,0.00,0,8.1,39.0,100,39.0,2.1,145,50.8
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0400,039,0.00,0.00,0,7.6,37.4,100,37.4,2.1,132,50.9
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0500,039,0.00,0.00,0,7.1,35.8,100,35.8,1.6,186,50.9
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0600,039,0.00,0.00,0,8.2,39.2,100,39.2,1.7,318,50.9
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0700,039,0.00,0.00,0,9.3,42.7,100,42.7,1.5,229,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0800,039,0.00,0.00,28,9.6,43.4,100,43.3,2.7,222,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,0900,039,0.00,0.00,98,9.6,43.6,100,43.6,2.5,113,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1000,039,0.00,0.00,196,9.7,43.8,100,43.8,2.5,206,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1100,039,0.00,0.00,373,10.1,44.9,100,44.9,2.4,199,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1200,039,0.00,0.00,515,10.8,46.5,100,46.5,2.9,108,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1300,039,0.01,0.00,810,11.4,49.4,95,47.9,5.2,325,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1400,039,0.01,0.00,951,12.1,55.8,80,49.6,8.4,327,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1500,039,0.01,0.00,792,12.3,60.7,68,50.0,8.9,339,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1600,039,0.01,0.00,564,11.9,62.7,61,49.2,11.8,339,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1700,039,0.00,0.00,272,11.7,59.8,67,48.7,11.3,333,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1800,039,0.00,0.00,33,10.5,53.1,76,45.9,7.5,341,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,1900,039,0.00,0.00,0,9.8,49.0,83,43.9,7.0,358,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,2000,039,0.00,0.00,0,9.6,46.9,88,43.4,6.1,358,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,2100,039,0.00,0.00,0,8.8,43.4,92,41.2,3.0,265,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,2200,039,0.00,0.00,0,8.3,41.2,95,39.8,2.9,197,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,2300,039,0.00,0.00,0,8.7,41.9,96,40.9,2.8,91,51.0
113,King City-Oasis Rd.,Monterey Bay,2/8/2020,2400,039,0.00,0.00,0,8.1,39.7,98,39.1,2.6,173,51.0
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0100,040,0.00,0.00,0,7.7,38.3,99,37.9,2.6,164,51.0
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0200,040,0.00,0.00,0,7.9,38.8,99,38.5,3.1,175,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0300,040,0.00,0.00,0,7.6,37.7,99,37.4,2.0,167,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0400,040,0.00,0.00,0,7.9,38.6,100,38.5,2.4,132,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0500,040,0.00,0.00,0,7.5,37.0,100,37.0,2.5,180,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0600,040,0.00,0.00,0,7.5,37.2,100,37.2,2.2,220,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0700,040,0.00,0.00,0,8.4,40.1,100,40.1,2.4,208,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0800,040,0.00,0.00,93,7.6,37.5,100,37.5,2.6,205,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,0900,040,0.00,0.00,352,8.7,42.6,93,40.8,3.7,289,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1000,040,0.01,0.00,596,7.6,47.6,68,37.6,7.0,321,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1100,040,0.01,0.00,844,6.9,54.0,48,35.0,9.7,323,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1200,040,0.02,0.00,983,5.7,58.0,35,30.3,15.0,322,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1300,040,0.02,0.00,1074,5.0,61.1,27,26.9,16.7,335,51.1
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1400,040,0.01,0.00,661,4.6,61.9,24,24.8,15.2,351,51.0
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1500,040,0.01,0.00,376,4.3,63.1,22,23.4,13.9,17,51.0
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1600,040,0.01,0.00,458,4.4,64.2,21,24.0,14.0,24,51.0
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1700,040,0.01,0.00,269,4.8,63.2,24,26.3,11.8,29,51.0
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1800,040,0.00,0.00,42,5.0,58.5,30,27.1,4.9,358,51.0
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,1900,040,0.00,0.00,0,4.8,51.9,37,26.2,2.8,284,50.9
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,2000,040,0.00,0.00,0,4.5,49.3,38,24.8,3.2,338,50.9
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,2100,040,0.00,0.00,0,4.5,49.3,38,24.7,4.7,301,50.9
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,2200,040,0.00,0.00,0,4.2,48.6,36,22.8,3.7,325,50.9
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,2300,040,0.00,0.00,0,4.2,48.5,36,23.0,4.5,329,50.9
113,King City-Oasis Rd.,Monterey Bay,2/9/2020,2400,040,0.00,0.00,0,4.2,48.9,36,23.2,6.6,348,50.9
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0100,041,0.00,0.00,0,4.1,48.1,36,22.6,5.2,351,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0200,041,0.00,0.00,0,4.3,45.9,40,23.2,3.5,335,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0300,041,0.00,0.00,0,4.5,44.6,45,24.6,5.3,344,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0400,041,0.00,0.00,0,4.5,44.4,46,24.7,3.6,327,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0500,041,0.00,0.00,0,4.4,45.1,43,23.8,2.6,342,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0600,041,0.00,0.00,0,4.6,40.6,53,24.9,3.0,312,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0700,041,0.00,0.00,1,4.3,42.3,47,23.7,2.0,249,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0800,041,0.00,0.00,106,4.4,43.9,45,24.2,3.1,298,51.0
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,0900,041,0.00,0.00,377,4.8,50.4,38,26.1,5.1,345,50.9
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1000,041,0.01,0.00,654,5.3,54.3,37,28.6,3.2,37,50.9
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1100,041,0.01,0.00,877,5.4,59.6,31,28.8,2.9,39,50.9
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1200,041,0.01,0.00,1015,4.6,64.9,22,25.3,6.1,345,50.9
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1300,041,0.02,0.00,1055,3.7,69.2,15,19.9,8.5,339,50.8
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1400,041,0.02,0.00,993,3.7,70.5,14,19.6,8.0,343,50.8
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1500,041,0.01,0.00,831,4.3,70.9,17,23.3,8.0,336,50.8
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1600,041,0.01,0.00,588,4.5,70.8,18,24.8,7.1,339,50.8
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1700,041,0.01,0.00,297,4.9,69.2,20,26.7,7.3,341,50.7
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1800,041,0.00,0.00,45,5.6,61.2,30,29.6,4.7,324,50.7
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,1900,041,0.00,0.00,0,6.0,52.5,44,31.4,3.1,177,50.7
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,2000,041,0.00,0.00,0,5.5,50.4,44,29.6,2.4,227,50.7
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,2100,041,0.00,0.00,0,5.9,47.0,54,31.3,2.6,171,50.7
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,2200,041,0.00,0.00,0,5.8,43.7,60,30.7,3.6,159,50.7
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,2300,041,0.00,0.00,0,6.1,42.4,66,32.0,3.6,152,50.8
113,King City-Oasis Rd.,Monterey Bay,2/10/2020,2400,041,0.00,0.00,0,6.0,40.7,70,31.7,3.1,150,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0100,042,0.00,0.00,0,6.0,39.2,73,31.4,3.2,171,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0200,042,0.00,0.00,0,5.9,37.7,76,31.0,2.9,164,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0300,042,0.00,0.00,0,5.8,36.9,78,30.7,2.5,152,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0400,042,0.00,0.00,0,5.8,34.9,84,30.6,2.7,185,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0500,042,0.00,0.00,0,5.8,35.3,83,30.7,2.3,172,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0600,042,0.00,0.00,0,5.6,33.4,87,29.8,3.3,146,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0700,042,0.00,0.00,2,5.5,32.8,87,29.5,3.3,171,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0800,042,0.00,0.00,111,5.8,34.6,85,30.6,2.8,184,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,0900,042,0.00,0.00,377,6.4,41.5,73,33.3,5.1,138,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1000,042,0.01,0.00,654,7.5,49.9,61,37.0,4.4,140,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1100,042,0.01,0.00,875,7.2,56.3,47,36.1,4.5,146,50.9
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1200,042,0.01,0.00,1009,7.4,62.7,38,36.9,3.9,123,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1300,042,0.01,0.00,1046,6.8,66.4,31,34.8,3.3,316,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1400,042,0.01,0.00,984,6.2,68.6,26,32.5,4.3,344,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1500,042,0.01,0.00,822,5.8,70.4,23,30.5,4.1,344,50.8
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1600,042,0.01,0.00,583,5.5,71.1,21,29.2,5.1,327,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1700,042,0.01,0.00,299,5.3,70.6,21,28.6,4.4,340,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1800,042,0.00,0.00,48,6.0,63.8,30,31.6,2.9,254,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,1900,042,0.00,0.00,0,6.3,57.3,39,32.8,2.5,152,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,2000,042,0.00,0.00,0,6.3,50.9,50,32.8,3.0,188,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,2100,042,0.00,0.00,0,6.4,48.9,54,33.0,2.7,151,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,2200,042,0.00,0.00,0,6.5,46.1,61,33.6,3.4,149,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,2300,042,0.00,0.00,0,6.6,44.6,66,34.0,3.9,163,50.7
113,King City-Oasis Rd.,Monterey Bay,2/11/2020,2400,042,0.00,0.00,0,6.6,42.4,72,34.0,3.2,159,50.7
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0100,043,0.00,0.00,0,6.7,41.5,76,34.4,2.6,167,50.8
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0200,043,0.00,0.00,0,6.7,40.5,79,34.3,2.4,165,50.8
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0300,043,0.00,0.00,0,6.7,39.3,82,34.2,2.0,172,50.8
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0400,043,0.00,0.00,0,6.6,38.6,83,33.9,2.7,149,50.8
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0500,043,0.00,0.00,0,6.5,37.1,86,33.4,3.2,184,50.9
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0600,043,0.00,0.00,0,6.3,36.8,85,32.8,2.0,157,50.9
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0700,043,0.00,0.00,1,6.2,35.8,88,32.5,2.2,158,50.9
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0800,043,0.00,0.00,112,6.4,36.4,88,33.1,2.6,182,50.9
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,0900,043,0.00,0.00,375,7.6,44.1,77,37.4,4.5,150,50.9
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1000,043,0.01,0.00,647,8.1,51.8,62,39.2,5.8,131,50.9
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1100,043,0.01,0.00,871,8.0,57.0,50,38.8,5.5,146,50.9
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1200,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1300,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1400,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1500,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1600,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1700,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1800,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,1900,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,2000,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,2100,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,2200,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,2300,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
113,King City-Oasis Rd.,Monterey Bay,2/12/2020,2400,043,,M,,M,,M,,M,,M,,M,,M,,M,,M,,M
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
